ID,SALESPERSON_EXCEPTION__C
0067000000Hmat7AAB,TRUE
0067000000HmcAgAAJ,TRUE
0067000000HmcCrAAJ,TRUE
0067000000HmcFWAAZ,TRUE
0067000000HmcKlAAJ,TRUE
0067000000HmcXQAAZ,TRUE
0067000000HmcaCAAR,TRUE
0067000000HmclNAAR,TRUE
0067000000HmcrBAAR,TRUE
0067000000Hmd3MAAR,TRUE
0067000000Hmd2ZAAR,TRUE
0067000000Hmd3rAAB,TRUE
0067000000HmdCBAAZ,TRUE
0067000000HmdCPAAZ,TRUE
0067000000HmdHYAAZ,TRUE
0067000000HmdIXAAZ,TRUE
0067000000HmdTeAAJ,TRUE
0067000000HmdYOAAZ,TRUE
0067000000HmdcfAAB,TRUE
0067000000HmdhaAAB,TRUE
0067000000Hmg4nAAB,TRUE
0067000000Hmg3RAAR,TRUE
0067000000HmgA2AAJ,TRUE
0067000000HmgCIAAZ,TRUE
0067000000HmgG5AAJ,TRUE
0067000000HmgL5AAJ,TRUE
0067000000HmgQtAAJ,TRUE
0067000000HmgU2AAJ,TRUE
0067000000HmgV1AAJ,TRUE
0067000000HmgdGAAR,TRUE
0067000000HmgoMAAR,TRUE
0067000000Hmgu0AAB,TRUE
0067000000HmhE3AAJ,TRUE
0067000000HmhMoAAJ,TRUE
0067000000HmhRJAAZ,TRUE
0067000000HmhRdAAJ,TRUE
0067000000HmhSCAAZ,TRUE
0067000000HmhSbAAJ,TRUE
0067000000HmhXcAAJ,TRUE
0067000000HmhZSAAZ,TRUE
0067000000Hmiy2AAB,TRUE
0067000000HmjBYAAZ,TRUE
0067000000HmjZXAAZ,TRUE
0067000000HmjWVAAZ,TRUE
0067000000HmjkUAAR,TRUE
0067000000HmjqIAAR,TRUE
0067000000Hmjs4AAB,TRUE
0067000000HmkGbAAJ,TRUE
0067000000HmkH4AAJ,TRUE
0067000000HmkHFAAZ,TRUE
0067000000HmkLkAAJ,TRUE
0067000000HmkNMAAZ,TRUE
0067000000HmlZOAAZ,TRUE
0067000000Hmm10AAB,TRUE
0067000000Hmm4xAAB,TRUE
0067000000HmmEEAAZ,TRUE
0067000000HmmEiAAJ,TRUE
0067000000HmmF8AAJ,TRUE
0067000000HmmN6AAJ,TRUE
0067000000HmmQRAAZ,TRUE
0067000000HmmblAAB,TRUE
0067000000HmmtzAAB,TRUE
0067000000Hmmx8AAB,TRUE
0067000000HmmrVAAR,TRUE
0067000000HmmvNAAR,TRUE
0067000000HmoYIAAZ,TRUE
0067000000HmordAAB,TRUE
0067000000HmotAAAR,TRUE
0067000000Hmp8eAAB,TRUE
0067000000Hmp9JAAR,TRUE
0067000000HmpEdAAJ,TRUE
0067000000HmpUfAAJ,TRUE
0067000000HmpfxAAB,TRUE
0067000000Hmpi9AAB,TRUE
0067000000HmpmeAAB,TRUE
0067000000HmpnSAAR,TRUE
0067000000HmpoQAAR,TRUE
0067000000Hmpr0AAB,TRUE
0067000000HmpyNAAR,TRUE
0067000000Hmq1fAAB,TRUE
0067000000HmrP7AAJ,TRUE
0067000000HmrYIAAZ,TRUE
0067000000HmrbqAAB,TRUE
0067000000HmrfPAAR,TRUE
0067000000HmrhPAAR,TRUE
0067000000HmrknAAB,TRUE
0067000000HmrzxAAB,TRUE
0067000000Hms3pAAB,TRUE
0067000000Hms0wAAB,TRUE
0067000000HmsEEAAZ,TRUE
0067000000HmsGAAAZ,TRUE
0067000000HmsHTAAZ,TRUE
0067000000HmsICAAZ,TRUE
0067000000Hmsl1AAB,TRUE
0067000000HmsqLAAR,TRUE
0067000000HmvRfAAJ,TRUE
0067000000HmvkGAAR,TRUE
0067000000HmvorAAB,TRUE
0067000000Hmw7hAAB,TRUE
0067000000HmwDbAAJ,TRUE
0067000000HmwGUAAZ,TRUE
0067000000HmwN6AAJ,TRUE
0067000000HmwNBAAZ,TRUE
0067000000HmwRmAAJ,TRUE
0067000000HmwIMAAZ,TRUE
0067000000HmwYFAAZ,TRUE
0067000000HmwaZAAR,TRUE
0067000000HmwgdAAB,TRUE
0067000000Hmxw7AAB,TRUE
0067000000HmxnHAAR,TRUE
0067000000Hmy0nAAB,TRUE
0067000000Hmy8RAAR,TRUE
0067000000HmyJFAAZ,TRUE
0067000000HmyeIAAR,TRUE
0067000000HmyrhAAB,TRUE
0067000000Hn0apAAB,TRUE
0067000000Hn0xyAAB,TRUE
0067000000Hn1CgAAJ,TRUE
0067000000Hn1JkAAJ,TRUE
0067000000Hn1XXAAZ,TRUE
0067000000Hn1alAAB,TRUE
0067000000Hn1iaAAB,TRUE
0067000000Hn1o9AAB,TRUE
0067000000Hn1sqAAB,TRUE
0067000000Hn2SiAAJ,TRUE
0067000000HnCgtAAF,TRUE
0067000000HnD3bAAF,TRUE
0067000000HnDIBAA3,TRUE
0067000000HnDe5AAF,TRUE
0067000000HnDjdAAF,TRUE
0067000000HnDmtAAF,TRUE
0067000000HnDsaAAF,TRUE
